"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,7.912062607E-1
4.687500000E1,3.884268928E-1
7.031250000E1,4.850186238E-1
9.375000000E1,8.907388580E-1
1.171875000E2,5.605351885E-1
1.406250000E2,2.157377450E0
1.640625000E2,1.286376860E0
1.875000000E2,1.228083028E0
2.109375000E2,5.876763067E-1
2.343750000E2,2.210362620E-1
2.578125000E2,5.182613886E-1
2.812500000E2,9.133734002E-2
3.046875000E2,1.011539603E-1
3.281250000E2,2.098424577E-1
3.515625000E2,2.412535741E-1
3.750000000E2,4.748301582E-1
3.984375000E2,1.244658705E-1
4.218750000E2,2.378765004E-1
4.453125000E2,5.947893795E-1
4.687500000E2,1.724517464E-1
4.921875000E2,1.406382564E-1
5.156250000E2,1.864814075E-1
5.390625000E2,7.767859047E-2
5.625000000E2,1.127292703E-1
5.859375000E2,3.211145705E-1
6.093750000E2,1.452878423E-1
6.328125000E2,1.645878987E-1
6.562500000E2,2.344517744E-1
6.796875000E2,2.624815173E-1
7.031250000E2,2.639186462E-1
7.265625000E2,4.609172170E-1
7.500000000E2,7.130928456E-1
7.734375000E2,2.677491908E-1
7.968750000E2,1.059292436E-1
8.203125000E2,1.688315920E-1
8.437500000E2,2.462641787E-1
8.671875000E2,5.022366258E-1
8.906250000E2,5.451564898E-1
9.140625000E2,2.489264389E-1
9.375000000E2,1.626921832E-1
9.609375000E2,7.496537632E-2
9.843750000E2,3.340164103E-1
1.007812500E3,1.016274280E-1
1.031250000E3,9.863221016E-2
1.054687500E3,5.482294640E-2
1.078125000E3,6.138869076E-2
1.101562500E3,1.212390133E-1
1.125000000E3,1.866749821E-1
1.148437500E3,1.062193432E-1
1.171875000E3,3.581510660E-1
1.195312500E3,1.315849441E-1
1.218750000E3,1.028059210E-1
1.242187500E3,1.723949347E-1
1.265625000E3,2.070800092E-1
1.289062500E3,2.296206541E-1
1.312500000E3,5.709391255E-1
1.335937500E3,4.982107202E-1
1.359375000E3,1.524246995E-1
1.382812500E3,1.231342495E-1
1.406250000E3,1.056384272E-2
1.429687500E3,9.563140791E-2
1.453125000E3,6.415869921E-2
1.476562500E3,2.763322892E-1
1.500000000E3,2.532508591E-2
1.523437500E3,1.597230005E-2
1.546875000E3,7.665844323E-2
1.570312500E3,4.420791228E-2
1.593750000E3,3.385003724E-2
1.617187500E3,4.606724792E-2
1.640625000E3,6.811079254E-2
1.664062500E3,7.469539271E-2
1.687500000E3,7.545416057E-2
1.710937500E3,1.026669247E-1
1.734375000E3,4.307958938E-1
1.757812500E3,5.683905205E-1
1.781250000E3,3.330516314E-1
1.804687500E3,2.888997226E-1
1.828125000E3,2.312303302E-1
1.851562500E3,6.942381710E-1
1.875000000E3,1.337067308E-1
1.898437500E3,2.018435590E-2
1.921875000E3,8.095361599E-2
1.945312500E3,8.108260330E-2
1.968750000E3,6.803368824E-2
1.992187500E3,5.479842480E-2
2.015625000E3,6.703593077E-2
2.039062500E3,7.877741820E-2
2.062500000E3,2.492915519E-2
2.085937500E3,4.378036567E-2
2.109375000E3,2.544277362E-2
2.132812500E3,2.355579002E-2
2.156250000E3,8.503363483E-2
2.179687500E3,1.629952641E-1
2.203125000E3,1.048071063E-1
2.226562500E3,4.373203439E-2
2.250000000E3,9.375017051E-2
2.273437500E3,6.761391175E-2
2.296875000E3,3.882481317E-2
2.320312500E3,1.933012374E-2
2.343750000E3,4.083446376E-2
2.367187500E3,7.489703646E-2
2.390625000E3,4.118321595E-2
2.414062500E3,3.980872254E-2
2.437500000E3,1.634709501E-2
2.460937500E3,3.048710182E-2
2.484375000E3,1.651621994E-2
2.507812500E3,1.870322501E-2
2.531250000E3,5.236612525E-2
2.554687500E3,1.141529187E-1
2.578125000E3,6.287794468E-2
2.601562500E3,8.539866379E-2
2.625000000E3,5.550827249E-2
2.648437500E3,5.673344127E-2
2.671875000E3,1.977847983E-2
2.695312500E3,2.397740941E-2
2.718750000E3,2.163552916E-2
2.742187500E3,3.480444847E-2
2.765625000E3,4.633043921E-3
2.789062500E3,3.147612656E-2
