"Time (s)","Peak-Frequency"
0.000000000E0,4.218750000E2
3.676201250E-1,4.218750000E2
3.977520833E-1,4.218750000E2
4.406207917E-1,4.218750000E2
5.082208333E-1,4.218750000E2
5.696058333E-1,4.218750000E2
6.345652083E-1,4.218750000E2
6.998434167E-1,4.218750000E2
7.620191667E-1,9.375000000E1
8.278682500E-1,1.171875000E2
8.919116667E-1,1.171875000E2
9.528016250E-1,6.328125000E2
1.017722708E0,6.328125000E2
1.083511333E0,4.687500000E2
1.148016000E0,6.328125000E2
1.209810625E0,6.328125000E2
1.275300750E0,4.218750000E2
1.336123958E0,4.218750000E2
1.402808542E0,4.218750000E2
1.467293833E0,5.156250000E2
1.529445625E0,2.343750000E2
1.595479292E0,2.343750000E2
1.659327833E0,4.687500000E2
1.720215708E0,3.984375000E2
1.786976958E0,3.984375000E2
1.851080208E0,3.750000000E2
1.912021000E0,3.750000000E2
1.978743917E0,4.921875000E2
2.043377375E0,3.750000000E2
2.103582875E0,3.750000000E2
2.170415458E0,3.750000000E2
2.234459375E0,5.156250000E2
2.298449125E0,5.156250000E2
2.362082333E0,3.750000000E2
2.427488542E0,2.109375000E2
2.491794042E0,2.109375000E2
2.553667750E0,1.171875000E2
2.617782500E0,1.171875000E2
2.683283208E0,1.171875000E2
2.745100792E0,3.750000000E2
2.811299125E0,3.750000000E2
2.874367000E0,3.750000000E2
2.937067750E0,3.750000000E2
3.001212583E0,3.750000000E2
3.067772917E0,3.750000000E2
3.128707458E0,1.171875000E2
3.195418958E0,1.171875000E2
3.256620833E0,3.750000000E2
3.320338542E0,3.750000000E2
3.386998958E0,3.750000000E2
3.451186375E0,3.750000000E2
3.512047542E0,3.750000000E2
3.578772625E0,3.750000000E2
3.640942417E0,3.750000000E2
3.703541917E0,3.750000000E2
3.770326292E0,4.687500000E1
3.834525583E0,2.812500000E2
3.899357292E0,2.812500000E2
3.962002792E0,3.750000000E2
4.024011250E0,3.750000000E2
4.090893250E0,3.750000000E2
4.153314583E0,3.750000000E2
4.217831375E0,3.750000000E2
4.282174458E0,3.750000000E2
4.347329125E0,3.750000000E2
4.411440292E0,3.750000000E2
4.471419917E0,3.750000000E2
4.536136958E0,7.031250000E1
4.601220500E0,7.031250000E1
4.667361000E0,4.687500000E1
4.731835000E0,9.375000000E1
4.793342875E0,9.375000000E1
4.859828458E0,3.750000000E2
4.923959958E0,2.343750000E1
4.984590792E0,2.343750000E1
5.051257042E0,5.156250000E2
5.115342250E0,5.156250000E2
5.179862250E0,2.343750000E1
5.243856583E0,1.171875000E2
5.307808667E0,1.171875000E2
5.367953875E0,7.031250000E1
5.434620000E0,4.687500000E1
5.499320875E0,4.687500000E1
5.563812292E0,2.343750000E1
5.627787500E0,4.687500000E1
5.691694625E0,4.687500000E1
5.754354500E0,4.687500000E1
5.817971167E0,4.687500000E1
5.883270833E0,2.343750000E1
5.947735917E0,4.687500000E1
6.010841875E0,4.687500000E1
6.075767375E0,4.687500000E1
6.136181292E0,1.406250000E2
6.201352333E0,1.406250000E2
6.264357333E0,7.031250000E1
6.329070667E0,7.031250000E1
6.395360250E0,7.031250000E1
6.459515375E0,1.171875000E2
6.523695458E0,7.031250000E1
6.584657208E0,7.031250000E1
6.651363583E0,4.687500000E1
6.715335042E0,4.687500000E1
6.779808083E0,9.375000000E1
6.843672750E0,4.687500000E1
6.907759708E0,4.687500000E1
6.968038417E0,7.031250000E1
7.034718708E0,4.687500000E1
7.099257833E0,4.687500000E1
7.159994917E0,2.343750000E1
7.227757417E0,4.687500000E1
7.291798000E0,4.687500000E1
7.355791917E0,2.343750000E1
7.418077250E0,2.343750000E1
7.481619667E0,2.343750000E1
7.547415625E0,2.343750000E1
7.611769167E0,2.343750000E1
7.675806125E0,4.687500000E1
7.736422917E0,4.687500000E1
7.801419875E0,4.687500000E1
7.867290250E0,6.562500000E2
7.931857625E0,6.328125000E2
7.995362083E0,6.328125000E2
8.059792292E0,5.859375000E2
8.123771000E0,4.687500000E1
8.184818250E0,4.687500000E1
8.251465583E0,2.343750000E1
8.315574667E0,2.343750000E1
8.377276875E0,2.343750000E1
8.443814250E0,2.343750000E1
8.507780750E0,2.343750000E1
8.568316458E0,4.687500000E1
8.634952167E0,2.343750000E1
8.699825583E0,2.343750000E1
8.763895500E0,4.453125000E2
8.826761833E0,5.390625000E2
8.889520417E0,5.390625000E2
8.955686208E0,2.343750000E1
9.018176500E0,2.343750000E1
9.083311833E0,4.453125000E2
9.147798125E0,9.375000000E1
9.211804417E0,9.375000000E1
9.275808500E0,4.453125000E2
9.335886250E0,2.812500000E2
9.401546458E0,2.812500000E2
9.467586125E0,5.859375000E2
9.531220667E0,2.343750000E1
9.595871083E0,2.343750000E1
9.658782208E0,3.281250000E2
9.723673750E0,5.390625000E2
9.784833667E0,5.390625000E2
9.851511375E0,6.328125000E2
9.915521417E0,6.328125000E2
9.979791042E0,5.859375000E2
1.004197304E1,1.875000000E2
1.010766408E1,1.875000000E2
1.016817771E1,9.375000000E1
1.023492208E1,7.031250000E1
1.029981788E1,7.031250000E1
1.036380771E1,4.687500000E1
1.042783725E1,4.687500000E1
1.048948754E1,4.687500000E1
1.055575329E1,4.687500000E1
1.061821796E1,4.687500000E1
1.068311750E1,2.343750000E2
1.074776021E1,3.750000000E2
1.081168379E1,3.750000000E2
1.087570783E1,3.281250000E2
1.093983142E1,4.218750000E2
1.100158625E1,4.218750000E2
1.106722229E1,3.984375000E2
1.113178358E1,1.640625000E2
1.119583583E1,1.640625000E2
1.125951179E1,3.281250000E2
1.132373883E1,5.390625000E2
1.138495563E1,5.390625000E2
1.145116075E1,3.515625000E2
1.151232729E1,3.515625000E2
1.157971942E1,4.453125000E2
1.164384963E1,6.562500000E2
1.170773150E1,6.562500000E2
1.176824975E1,5.625000000E2
1.183497858E1,5.156250000E2
1.189910313E1,5.156250000E2
1.196390612E1,1.875000000E2
1.202774717E1,4.453125000E2
1.209162925E1,4.453125000E2
1.215154954E1,3.515625000E2
1.221831258E1,3.515625000E2
1.228032179E1,9.375000000E1
1.234783012E1,7.031250000E1
1.241173350E1,7.031250000E1
1.247572850E1,1.640625000E2
1.253970296E1,1.640625000E2
1.260163829E1,1.640625000E2
1.266719438E1,5.156250000E2
1.273177263E1,3.281250000E2
1.279580212E1,3.281250000E2
1.285575500E1,2.109375000E2
1.292366529E1,6.796875000E2
1.298503329E1,6.796875000E2
1.305112971E1,5.390625000E2
1.311561467E1,5.390625000E2
1.317976387E1,1.875000000E2
1.324338479E1,1.875000000E2
1.330767308E1,1.875000000E2
1.336844187E1,7.031250000E1
1.343495708E1,9.375000000E1
1.349925308E1,9.375000000E1
1.356327413E1,6.796875000E2
1.362765629E1,3.984375000E2
1.369165950E1,3.984375000E2
1.375171542E1,3.281250000E2
1.381838650E1,3.281250000E2
