,"x","y","z","abs"
1.616266667E-2,-4.627235037E-1,2.193524480E-1,4.508203268E-2,5.140631547E-1
2.613766667E-2,-2.899014437E-1,1.348215902E-1,-9.888109446E-2,3.346597960E-1
3.611266667E-2,-1.403188500E-1,9.865831554E-2,-7.206693292E-2,1.860550609E-1
4.608666667E-2,-6.315109849E-2,1.171764475E-1,-5.369030356E-2,1.435305883E-1
5.606166667E-2,-8.732436508E-2,8.815554678E-2,-3.564579606E-2,1.291029355E-1
6.603666667E-2,-2.052127111E-1,5.127423406E-3,-6.736927986E-2,2.160489924E-1
7.601066667E-2,-3.223722017E-1,3.628782034E-3,-7.761477113E-2,3.316037653E-1
8.598566667E-2,-3.689593077E-1,1.215811551E-1,-9.634047925E-2,4.002429711E-1
9.596066667E-2,-3.932661831E-1,2.540474868E-1,-2.073510379E-1,5.120477216E-1
1.059346667E-1,-3.879808849E-1,3.602639133E-1,-3.107233787E-1,6.138959784E-1
1.159096667E-1,-1.772261828E-1,1.957431453E-1,-3.191784525E-1,4.142455593E-1
1.258846667E-1,-1.673297703E-2,-3.301571846E-2,-2.095209396E-1,2.127652564E-1
1.358586667E-1,8.163677841E-2,-1.809684008E-1,-2.549386024E-2,2.001600924E-1
1.458336667E-1,1.062193501E-1,-1.326090038E-1,1.708386844E-1,2.409430520E-1
1.558086667E-1,7.772411406E-3,-5.101812601E-2,2.401930940E-1,2.456745448E-1
1.657826667E-1,-9.036754847E-2,-9.875947237E-3,2.864293671E-1,3.005089191E-1
1.757576667E-1,-1.018406627E-1,1.640027046E-2,2.533557612E-1,2.735500524E-1
1.857326667E-1,-4.154037416E-2,1.610323191E-3,1.519936931E-1,1.575762627E-1
1.957066667E-1,-1.418008268E-2,-4.258819520E-2,3.507744670E-2,5.696715179E-2
2.056816667E-1,-4.404429808E-2,1.771180093E-2,-1.148784918E-1,1.243007480E-1
2.156566667E-1,-1.741758366E-1,1.462002718E-1,-2.691485059E-1,3.523530329E-1
2.256316667E-1,-1.942271085E-1,2.237080389E-1,-2.072171366E-1,3.615361643E-1
2.356056667E-1,-1.473488112E-1,1.810672188E-1,-1.314746439E-1,2.679227349E-1
2.455806667E-1,-5.998892426E-2,8.159380138E-2,-1.438303953E-1,1.759073679E-1
2.555556667E-1,1.002402797E-2,-4.147839367E-2,-1.543857890E-1,1.601746239E-1
2.655296667E-1,1.289467464E-1,-8.353156865E-2,-1.499395663E-1,2.146780378E-1
2.755046667E-1,1.404720470E-1,5.589938164E-4,-2.000010878E-1,2.444036489E-1
2.854796667E-1,3.793761224E-2,1.129746383E-1,-2.295119852E-1,2.586083577E-1
2.954536667E-1,-1.065494254E-2,1.927034703E-1,-1.394672030E-1,2.381160557E-1
3.054286667E-1,-5.472657636E-2,1.516074845E-1,-1.133278102E-1,1.970355807E-1
3.154036667E-1,-4.555784985E-2,8.868530452E-2,-1.125524694E-1,1.503617614E-1
3.253776667E-1,1.179953501E-2,-4.852019548E-3,-1.336486387E-1,1.342562094E-1
3.353526667E-1,1.057518652E-1,-9.018745422E-2,-2.406713963E-1,2.779207709E-1
3.453276667E-1,1.168849638E-1,-1.210335633E-1,-2.422267556E-1,2.949322284E-1
3.553016667E-1,8.862244695E-2,-7.480284512E-2,-1.571661401E-1,1.953217841E-1
3.652766667E-1,2.813051596E-2,2.218375146E-2,-5.890251160E-2,6.894164656E-2
3.752516667E-1,1.372195333E-3,1.065798309E-1,-5.931941807E-2,1.219833458E-1
3.852256667E-1,-3.231595293E-2,1.337284532E-1,-9.313562036E-2,1.661380865E-1
3.952006667E-1,-1.067282040E-1,1.349791726E-1,-1.057246757E-1,2.019603764E-1
4.051756667E-1,-1.750029252E-1,1.074554515E-1,-1.092774439E-1,2.326247142E-1
4.151496667E-1,-2.251970324E-1,1.052215227E-1,-5.862126052E-2,2.553854429E-1
4.251246667E-1,-2.929162681E-1,1.587100974E-1,2.470740974E-2,3.340648009E-1
4.350996667E-1,-3.574778612E-1,2.079550552E-1,-1.004142344E-2,4.136865437E-1
4.450736667E-1,-3.945916738E-1,2.221535566E-1,-1.513569313E-1,4.774554560E-1
4.550486667E-1,-4.979675961E-1,2.960989076E-1,-2.312562096E-1,6.237994263E-1
4.650242917E-1,-7.143486352E-1,5.112273270E-1,-2.248535085E-1,9.067560051E-1
4.749992917E-1,-8.103161352E-1,6.759869537E-1,1.291228938E-1,1.063129024E0
4.849732917E-1,-7.837872447E-1,5.211278325E-1,3.118097913E-1,9.915250924E-1
4.949482917E-1,-6.325475501E-1,3.256103897E-1,2.769200402E-1,7.634286068E-1
5.049232917E-1,-4.481056838E-1,1.707120922E-1,1.864706308E-1,5.145023017E-1
5.148972917E-1,-3.008851460E-1,8.613650322E-2,7.090333700E-2,3.209028692E-1
5.248722917E-1,-1.619599067E-1,2.053834498E-3,2.112306654E-2,1.633444629E-1
5.348472917E-1,-1.091415692E-1,-2.205218911E-2,-1.198614889E-1,1.635999930E-1
5.448212917E-1,-9.109669626E-2,8.827249110E-2,-3.806584167E-1,4.012374247E-1
5.547962917E-1,-1.165851478E-1,2.522360194E-1,-4.480323744E-1,5.272078477E-1
5.647712917E-1,-2.804748550E-1,3.221026450E-1,-2.645794916E-1,5.024127443E-1
5.747452917E-1,-5.429994523E-1,2.060994413E-1,2.216732079E-1,6.216626063E-1
5.847202917E-1,-5.708918770E-1,2.986044395E-1,2.778164184E-1,7.016153567E-1
5.946952917E-1,-4.999148650E-1,3.651018995E-1,7.949874401E-3,6.190940719E-1
6.046692917E-1,-4.781254717E-1,7.375911713E-1,-5.342624331E-1,1.028630667E0
6.146442917E-1,-3.308472657E-1,1.072239895E0,-8.155480045E-1,1.387183064E0
6.246192917E-1,-7.228605732E-2,9.206563836E-1,-8.928774315E-1,1.284547998E0
6.345932917E-1,2.706003696E-1,3.927586448E-1,-7.699175030E-1,9.056803379E-1
6.445682917E-1,6.974659695E-1,-1.677098393E-1,-4.999404466E-1,8.743716709E-1
6.545432917E-1,1.082684337E0,-6.585154733E-1,9.014067650E-3,1.267252641E0
6.645182917E-1,1.137990665E0,-8.889355311E-1,1.984621006E-1,1.457606373E0
6.744922917E-1,1.100414411E0,-7.072768664E-1,2.096156645E-1,1.324798539E0
6.844672917E-1,7.232825960E-1,-2.502427036E-1,3.316265899E-1,8.341074988E-1
6.944422917E-1,3.914361508E-1,2.834203899E-2,4.114299738E-1,5.685948951E-1
7.044162917E-1,5.098324737E-1,2.590304840E-1,5.434367144E-1,7.888912507E-1
7.143912917E-1,8.860939305E-1,3.204698101E-1,4.045173955E-1,1.025425607E0
7.243662917E-1,1.080440615E0,-1.277286252E-1,2.089350486E-1,1.107844925E0
7.343402917E-1,-7.247740746E-2,-1.520237478E0,7.169177556E-1,1.682363228E0
