timestamps,rec
0.000000000E0,-3.013346111E-3
2.083333333E-5,-2.450911095E-3
4.166666667E-5,-2.121496713E-3
6.250000000E-5,-2.024979098E-3
8.333333333E-5,-1.794772339E-3
1.041666667E-4,-9.490182856E-4
1.250000000E-4,-3.600849304E-4
1.458333333E-4,-3.712556500E-4
1.666666667E-4,-5.575804971E-4
1.875000000E-4,-1.154978992E-3
2.083333333E-4,-1.771037932E-3
2.291666667E-4,-1.650597551E-3
2.500000000E-4,-9.485908668E-4
2.708333333E-4,-5.419063964E-4
2.916666667E-4,-4.987374414E-4
3.125000000E-4,-2.676692748E-5
3.333333333E-4,8.944672300E-4
3.541666667E-4,1.496821875E-3
3.750000000E-4,1.140219043E-3
3.958333333E-4,4.898062325E-4
4.166666667E-4,9.796402883E-4
4.375000000E-4,2.392430091E-3
4.583333333E-4,3.268497763E-3
4.791666667E-4,3.024187637E-3
5.000000000E-4,1.761484775E-3
5.208333333E-4,-2.399248187E-4
5.416666667E-4,-1.973081846E-3
5.625000000E-4,-2.562816720E-3
5.833333333E-4,-2.357875928E-3
6.041666667E-4,-2.058586804E-3
6.250000000E-4,-2.217194065E-3
6.458333333E-4,-2.930176910E-3
6.666666667E-4,-3.375651315E-3
6.875000000E-4,-3.005346982E-3
7.083333333E-4,-1.881816192E-3
7.291666667E-4,-5.033217603E-4
7.500000000E-4,1.297100971E-5
7.708333333E-4,-5.040686810E-4
7.916666667E-4,-8.458045777E-4
8.125000000E-4,3.913337423E-5
8.333333333E-4,1.683730166E-3
8.541666667E-4,2.502934309E-3
8.750000000E-4,2.137638861E-3
8.958333333E-4,1.527826418E-3
9.166666667E-4,1.386576798E-3
9.375000000E-4,1.905114739E-3
9.583333333E-4,2.377709141E-3
9.791666667E-4,2.328052651E-3
1.000000000E-3,2.430604538E-3
1.020833333E-3,3.033522749E-3
1.041666667E-3,3.809442511E-3
1.062500000E-3,4.075923003E-3
1.083333333E-3,3.432217054E-3
1.104166667E-3,2.592444420E-3
1.125000000E-3,2.494087443E-3
1.145833333E-3,2.986910054E-3
1.166666667E-3,2.866104012E-3
1.187500000E-3,1.546400250E-3
1.208333333E-3,-1.851224224E-4
1.229166667E-3,-1.303408062E-3
1.250000000E-3,-1.160493586E-3
1.270833333E-3,-2.874310012E-4
1.291666667E-3,-2.850568853E-4
1.312500000E-3,-1.610334963E-3
1.333333333E-3,-3.050648607E-3
1.354166667E-3,-3.529435955E-3
1.375000000E-3,-2.919122577E-3
1.395833333E-3,-1.798024634E-3
1.416666667E-3,-9.010724025E-4
1.437500000E-3,-3.120022884E-4
1.458333333E-3,6.988792848E-6
1.479166667E-3,-8.344308299E-5
1.500000000E-3,-2.024211863E-4
1.520833333E-3,-1.044064047E-4
1.541666667E-3,-2.976424294E-4
1.562500000E-3,-8.689907263E-4
1.583333333E-3,-1.368562924E-3
1.604166667E-3,-1.549058477E-3
1.625000000E-3,-1.450105105E-3
1.645833333E-3,-1.618251204E-3
1.666666667E-3,-1.990868477E-3
1.687500000E-3,-1.672110171E-3
1.708333333E-3,-7.294598036E-4
1.729166667E-3,2.787450794E-4
1.750000000E-3,9.028968634E-4
1.770833333E-3,7.068545092E-4
1.791666667E-3,4.567461438E-4
1.812500000E-3,9.400313720E-4
1.833333333E-3,1.399735920E-3
1.854166667E-3,1.035838271E-3
1.875000000E-3,4.108419816E-4
1.895833333E-3,5.717049935E-4
1.916666667E-3,1.674273866E-3
1.937500000E-3,2.959880279E-3
1.958333333E-3,3.729314543E-3
1.979166667E-3,3.797920188E-3
2.000000000E-3,3.178439336E-3
2.020833333E-3,2.495125169E-3
2.041666667E-3,2.709012013E-3
2.062500000E-3,3.418832785E-3
2.083333333E-3,3.542549908E-3
2.104166667E-3,2.835929859E-3
2.125000000E-3,1.848709304E-3
2.145833333E-3,1.487228204E-3
2.166666667E-3,1.423779759E-3
2.187500000E-3,7.442241767E-4
2.208333333E-3,-9.154452709E-5
2.229166667E-3,-5.171542871E-4
2.250000000E-3,-7.608528249E-4
2.270833333E-3,-1.248335000E-3
2.291666667E-3,-1.719691209E-3
2.312500000E-3,-1.379340189E-3
2.333333333E-3,-6.220226060E-4
2.354166667E-3,-1.707143820E-4
2.375000000E-3,1.815723081E-4
2.395833333E-3,4.357394646E-4
2.416666667E-3,5.857078941E-4
2.437500000E-3,1.131567173E-3
2.458333333E-3,1.950318576E-3
2.479166667E-3,2.589561511E-3
2.500000000E-3,2.951618517E-3
2.520833333E-3,2.766015008E-3
2.541666667E-3,2.420391189E-3
2.562500000E-3,2.691221423E-3
2.583333333E-3,3.162287408E-3
2.604166667E-3,3.095335560E-3
2.625000000E-3,2.522971248E-3
2.645833333E-3,1.825229381E-3
2.666666667E-3,9.708536090E-4
2.687500000E-3,-3.969074169E-4
2.708333333E-3,-1.597324735E-3
2.729166667E-3,-1.465918147E-3
2.750000000E-3,-3.742880654E-4
2.770833333E-3,4.259360139E-4
2.791666667E-3,2.718846663E-4
2.812500000E-3,-5.820743390E-4
2.833333333E-3,-1.352583058E-3
2.854166667E-3,-1.858405769E-3
2.875000000E-3,-2.494731452E-3
2.895833333E-3,-3.457600949E-3
2.916666667E-3,-4.381904379E-3
2.937500000E-3,-4.326898139E-3
2.958333333E-3,-2.903611166E-3
2.979166667E-3,-1.432135701E-3
3.000000000E-3,-1.272440073E-3
3.020833333E-3,-1.997251296E-3
3.041666667E-3,-2.272363286E-3
3.062500000E-3,-1.198893646E-3
3.083333333E-3,6.090910756E-4
3.104166667E-3,1.753224060E-3
3.125000000E-3,1.756081008E-3
3.145833333E-3,1.623710850E-3
3.166666667E-3,2.594399266E-3
3.187500000E-3,3.824076848E-3
3.208333333E-3,3.759049112E-3
