Time,x,y,z,abs
2.187245833E-2,-1.895227730E-1,-3.083263338E-1,4.623536766E-2,3.648584915E-1
3.184745833E-2,-2.831463814E-1,-3.695016205E-1,-9.259248152E-3,4.656061152E-1
4.182145833E-2,-3.117697835E-1,-4.843938649E-1,-3.764535114E-2,5.772824150E-1
5.179645833E-2,-3.061329424E-1,-5.685008168E-1,-3.762016818E-2,6.467811332E-1
6.177145833E-2,-2.785601616E-1,-5.704278350E-1,-3.150528297E-2,6.355912691E-1
7.174645833E-2,-2.515296042E-1,-5.774931908E-1,-2.374817617E-2,6.303407833E-1
8.172045833E-2,-2.167266160E-1,-5.924769044E-1,-1.756751165E-2,6.311164122E-1
9.169545833E-2,-1.791659743E-1,-5.688729286E-1,-1.813772880E-2,5.966957621E-1
1.016704583E-1,-1.379144043E-1,-5.067030191E-1,3.526287619E-3,5.251483288E-1
1.116454583E-1,-8.834509552E-2,-4.306481183E-1,4.887088388E-2,4.423245652E-1
1.216204583E-1,-3.242989630E-2,-3.251877427E-1,9.308707714E-2,3.397998972E-1
1.315944583E-1,2.335444093E-2,-2.168239206E-1,1.418381929E-1,2.601463347E-1
1.415694583E-1,8.855980635E-2,-1.407478005E-1,1.948366910E-1,2.561525304E-1
1.515444583E-1,1.507284045E-1,-8.480807394E-2,2.179103792E-1,2.782020753E-1
1.615194583E-1,2.017859966E-1,-7.055430859E-2,1.814322621E-1,2.803803927E-1
1.714934583E-1,2.198825777E-1,-6.201003119E-2,1.261416525E-1,2.609699378E-1
1.814684583E-1,2.043073475E-1,-5.912236497E-2,7.197374851E-2,2.245376734E-1
1.914434583E-1,1.753536612E-1,-7.040552795E-2,3.269078583E-2,1.917668697E-1
2.014184583E-1,1.524584740E-1,-8.129785955E-2,1.574802212E-2,1.734961915E-1
2.113934583E-1,1.643912196E-1,-7.756740600E-2,3.401321918E-2,1.849272144E-1
2.213674583E-1,1.745759547E-1,-6.585349143E-2,1.032647267E-1,2.132534878E-1
2.313424583E-1,1.781308502E-1,-5.256278813E-2,2.022040188E-1,2.745540233E-1
2.413174583E-1,1.748005599E-1,-4.929243028E-2,2.710112929E-1,3.262393298E-1
2.512924583E-1,1.732020974E-1,-6.066367403E-2,3.190645576E-1,3.680777632E-1
2.612664583E-1,1.626671702E-1,-4.506740719E-2,3.710017800E-1,4.075953879E-1
2.712414583E-1,1.442661583E-1,2.408696804E-3,4.185918868E-1,4.427614413E-1
2.812164583E-1,1.225448847E-1,6.035695225E-2,4.574567080E-1,4.774168515E-1
2.911914583E-1,1.124276444E-1,9.091430902E-2,4.960235655E-1,5.166669763E-1
3.011664583E-1,1.285775900E-1,9.174655378E-2,5.540986061E-1,5.761726235E-1
3.111404583E-1,1.775171459E-1,1.211611331E-1,6.513012052E-1,6.858466425E-1
3.211154583E-1,2.581925392E-1,1.475954056E-1,7.588665485E-1,8.150621016E-1
3.310904583E-1,3.812608421E-1,1.461136341E-1,8.291466832E-1,9.242257549E-1
3.410654583E-1,5.328940749E-1,9.664807469E-2,9.804323912E-1,1.120073488E0
3.510394583E-1,6.716812253E-1,9.870273620E-2,1.162144303E0,1.345911320E0
3.610144583E-1,9.078018665E-1,1.112733930E-1,1.369117141E0,1.646501668E0
3.709894583E-1,1.131917238E0,2.359370589E-1,1.528280616E0,1.916388419E0
3.809644583E-1,1.428951859E0,4.673939943E-1,1.630506039E0,2.217861696E0
3.909394583E-1,1.638213158E0,6.777377129E-1,1.696023583E0,2.453480539E0
4.009134583E-1,1.759620547E0,8.806013465E-1,1.695289016E0,2.597253944E0
4.108884583E-1,1.813626528E0,1.036666393E0,1.650651097E0,2.662436373E0
4.208634583E-1,1.716447830E0,1.056893349E0,1.517974854E0,2.523383514E0
4.308384583E-1,1.522104383E0,1.071266532E0,1.288062453E0,2.263519078E0
4.408124583E-1,1.127293587E0,8.441401720E-1,8.032233119E-1,1.621274545E0
4.507874583E-1,6.581282020E-1,4.369514883E-1,3.038577139E-1,8.463975683E-1
4.607624583E-1,3.673578799E-1,4.311412871E-1,2.368171699E-2,5.669174940E-1
4.707374583E-1,9.613733739E-2,9.282672405E-1,-1.006059647E-1,9.386394503E-1
4.807124583E-1,-2.012054026E-1,1.554464698E0,-4.019322246E-2,1.567947578E0
4.906864583E-1,-3.989165127E-1,2.001301289E0,4.266576841E-3,2.040676220E0
5.006610833E-1,-5.319308043E-1,2.264129639E0,4.728248715E-2,2.326256442E0
5.106360833E-1,-5.225867033E-1,2.232824326E0,3.250727803E-2,2.293394439E0
5.206110833E-1,-3.167137206E-1,1.987461329E0,-1.673004404E-2,2.012607763E0
