Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
2221,jeremy,1322673025,254731,30/11/2011 17:10,no,308,0.54,5.44,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,-0.02,-15,5,43,52,639,-302,0.0,0.0,0.0,38,,,,,,,,,,,0.06,-0.02,-0.02,-276,159,-198,-419,450,356,,,,,,,,,,,,,,,,48.234856,-50.492388,-83.63138485,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.32,0.13,-0.3,-146,140,-224,-561,288,-8.0,47.0,-65.3,167.0,,,,,,,,,,,,,,,,33,,,,,,,,,,,0.02,0.05,-0.03,242,94,-199,136,526.0,697.0,A
2222,jeremy,1322673025,266887,30/11/2011 17:10,no,308,0.54,5.45,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,-0.02,-15,3,44,59,638,-294,0.0,0.0,0.0,38,,,,,,,,,,,0.08,-0.03,-0.02,-276,157,-198,-419,457,351,,,,,,,,,,,,,,,,47.21942658,-49.82775126,-85.02984031,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.32,0.11,-0.28,-145,138,-228,-557,290,-3.0,46.9,-65.4,167.0,,,,,,,,,,,,,,,,34,,,,,,,,,,,-0.02,0.08,0.0,250,94,-191,140,526.0,701.0,A
2223,jeremy,1322673025,446644,30/11/2011 17:10,no,308,0.53,5.39,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-17,2,45,47,629,-304,0.0,0.0,0.0,38,,,,,,,,,,,0.08,-0.05,0.1,-280,158,-194,-430,463,349,,,,,,,,,,,,,,,,45.59293914,-50.52092402,-85.7539941,,,,,,,,,,,,,,,,30,,,,,,,,,,,0.34,0.13,-0.38,-144,131,-225,-560,293,2.0,47.7,-64.2,168.0,,,,,,,,,,,,,,,,28,,,,,,,,,,,0.1,-0.21,0.34,178,86,-197,126,541.0,708.0,A
2224,jeremy,1322673025,458679,30/11/2011 17:10,no,308,0.53,5.38,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-16,2,42,54,640,-307,0.0,0.0,0.0,38,,,,,,,,,,,0.1,-0.03,0.11,-280,156,-193,-424,459,339,,,,,,,,,,,,,,,,46.79286716,-50.19179594,-85.06829633,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.35,0.14,-0.38,-144,135,-225,-557,295,-10.0,48.2,-64.2,168.0,,,,,,,,,,,,,,,,29,,,,,,,,,,,-0.08,-0.03,0.21,185,99,-195,127,543.0,698.0,A
2225,jeremy,1322673025,506645,30/11/2011 17:10,no,308,0.52,5.32,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.02,-14,2,45,52,638,-307,0.0,0.0,0.0,38,,,,,,,,,,,0.06,-0.02,0.1,-275,159,-202,-426,459,341,,,,,,,,,,,,,,,,46.28782073,-50.42836105,-85.27536104,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.34,0.14,-0.38,-145,134,-226,-561,298,0.0,46.3,-65.2,169.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.0,0.26,-0.54,254,114,-194,138,527.0,695.0,A
2226,jeremy,1322673025,626660,30/11/2011 17:10,no,308,0.54,5.3,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,-15,3,45,49,638,-312,0.0,0.0,0.0,38,,,,,,,,,,,0.06,-0.1,0.0,-282,163,-190,-434,455,332,,,,,,,,,,,,,,,,45.25464912,-51.33214897,-85.32594944,,,,,,,,,,,,,,,,30,,,,,,,,,,,0.35,0.14,-0.36,-146,130,-224,-554,296,-2.0,44.0,-64.8,169.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,0.18,-0.08,-0.28,242,64,-190,133,519.0,718.0,A
2227,jeremy,1322673025,674666,30/11/2011 17:10,no,308,0.53,5.32,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,-14,1,46,53,631,-307,0.0,0.0,0.0,39,,,,,,,,,,,0.02,-0.03,-0.05,-286,160,-195,-430,457,343,,,,,,,,,,,,,,,,47.50807515,-49.38087967,-85.17082548,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.35,0.14,-0.41,-143,138,-227,-564,290,2.0,43.6,-64.0,171.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,0.24,0.03,0.36,221,74,-208,126,534.0,732.0,A
2228,jeremy,1322673025,734738,30/11/2011 17:10,no,308,0.54,5.37,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,-16,4,46,50,630,-310,0.0,0.0,0.0,38,,,,,,,,,,,-0.08,-0.08,0.0,-275,158,-197,-435,452,343,,,,,,,,,,,,,,,,46.92715839,-50.69229179,-84.53234709,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.34,0.14,-0.41,-146,136,-225,-561,290,0.0,44.2,-64.5,171.0,,,,,,,,,,,,,,,,33,,,,,,,,,,,-0.13,0.16,0.23,212,118,-213,131,522.0,696.0,A
2229,jeremy,1322673025,850643,30/11/2011 17:10,no,308,0.51,5.38,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,-0.02,-17,2,45,56,631,-305,0.0,0.0,0.0,39,,,,,,,,,,,-0.11,0.05,0.07,-282,162,-202,-434,455,336,,,,,,,,,,,,,,,,48.20145503,-50.49002496,-83.66098507,,,,,,,,,,,,,,,,30,,,,,,,,,,,0.37,0.14,-0.39,-144,138,-221,-561,294,-6.0,43.9,-65.7,171.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,-0.21,0.08,-0.34,252,112,-199,146,518.0,700.0,A
2230,jeremy,1322673025,978628,30/11/2011 17:10,no,308,0.53,5.42,-88.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,-15,1,43,54,634,-306,0.0,0.0,0.0,38,,,,,,,,,,,-0.13,0.13,-0.23,-280,157,-198,-426,460,348,,,,,,,,,,,,,,,,46.79286716,-50.19179594,-85.06829633,,,,,,,,,,,,,,,,31,,,,,,,,,,,0.37,0.13,-0.33,-144,135,-225,-564,292,6.0,44.4,-65.7,170.0,,,,,,,,,,,,,,,,32,,,,,,,,,,,-0.05,-0.13,-0.07,242,77,-191,142,521.0,698.0,A
