"Time","lat","long","alt","alt_WGS84","speed","dir","dist","horizontal_acc","vertical_acc","sattelites"
9.575009346E-3,5.234121761E1,4.861610926E0,4.245189130E0,4.696626421E1,-1.000000000E0,-1.000000000E0,1.415428082E-2,3.711734381E1,3.711734381E1,-1.000000000E0
1.245999336E-2,5.234121493E1,4.861819229E0,4.245173872E0,4.696613323E1,-1.000000000E0,-1.000000000E0,1.955477963E-2,3.916212823E1,3.916212823E1,-1.000000000E0
1.245999336E-2,5.234120461E1,4.861896906E0,4.245173872E0,4.696610319E1,-1.000000000E0,-1.000000000E0,4.378093619E-2,3.916212823E1,3.916212823E1,-1.000000000E0
2.077901006E0,5.234118895E1,4.862252589E0,1.349121967E0,4.406986928E1,1.517362690E1,9.014171648E1,5.279791427E-2,2.828228622E1,2.828228622E1,-1.000000000E0
3.027915120E0,5.234118282E1,4.862384938E0,1.335443371E0,4.405612339E1,6.568201542E0,8.287836964E1,6.294513832E-2,2.042687414E1,2.042687414E1,-1.000000000E0
4.000929356E0,5.234118770E1,4.862534090E0,1.152033579E0,4.387262118E1,5.631643772E0,7.466899799E1,7.067185272E-2,1.422718199E1,1.422718199E1,-1.000000000E0
5.000942230E0,5.234118732E1,4.862647824E0,1.013773167E0,4.373429606E1,5.588997364E0,8.505738753E1,7.988726165E-2,1.838986571E1,1.838986571E1,-1.000000000E0
6.000954866E0,5.234118666E1,4.862783469E0,1.116695819E0,4.383714183E1,6.340441227E0,9.398639604E1,8.715368599E-2,9.268811274E0,9.268811274E0,-1.000000000E0
7.000310659E0,5.234119004E1,4.862890287E0,8.087854889E-1,4.352916548E1,6.340441227E0,8.080979235E1,9.380132426E-2,7.983921399E0,7.983921399E0,-1.000000000E0
8.000144482E0,5.234119827E1,4.862987207E0,6.355937997E-1,4.335590663E1,5.477676392E0,7.352767489E1,1.000569899E-1,1.004114075E1,1.004114075E1,-1.000000000E0
9.000000238E0,5.234119546E1,4.863079175E0,-2.755221061E-2,4.269271181E1,4.664519310E0,6.786115048E1,1.077043962E-1,1.384803447E1,1.384803447E1,-1.000000000E0
9.999794722E0,5.234116889E1,4.863182999E0,5.768040371E-1,4.329704587E1,4.531692982E0,8.365797333E1,1.136545285E-1,2.432306812E1,2.432306812E1,-1.000000000E0
1.100062048E1,5.234117064E1,4.863270537E0,5.388196490E-1,4.325900881E1,4.829299927E0,7.777441731E1,1.191874054E-1,2.207513469E1,2.207513469E1,-1.000000000E0
1.200040460E1,5.234118215E1,4.863349771E0,3.639611140E-1,4.308408864E1,4.829299927E0,7.482760488E1,1.240020618E-1,9.696605131E0,9.696605131E0,-1.000000000E0
1.300022006E1,5.234119351E1,4.863418160E0,3.639630051E-1,4.308403533E1,4.829299927E0,7.482765902E1,1.309464211E-1,9.696605131E0,9.696605131E0,-1.000000000E0
1.400002015E1,5.234120164E1,4.863519510E0,4.299168801E-1,4.314991964E1,4.712256432E0,7.156960857E1,1.385292444E-1,1.993098244E1,1.993098244E1,-1.000000000E0
1.499983847E1,5.234118963E1,4.863629384E0,-1.385821868E-1,4.258137444E1,4.491730213E0,7.441542251E1,1.475194136E-1,1.849904083E1,1.849904083E1,-1.000000000E0
1.599965012E1,5.234117360E1,4.863759091E0,1.697154008E-1,4.288962016E1,4.491730213E0,8.443852817E1,1.541883283E-1,1.548879506E1,1.548879506E1,-1.000000000E0
1.699949360E1,5.234118808E1,4.863854353E0,2.659337623E-1,4.298576352E1,5.236691952E0,7.935603117E1,1.608434046E-1,1.329341071E1,1.329341071E1,-1.000000000E0
1.799932396E1,5.234119570E1,4.863951517E0,2.254201993E-1,4.294518350E1,6.084190845E0,8.314979435E1,1.657293268E-1,1.277976494E1,1.277976494E1,-1.000000000E0
1.899917448E1,5.234120050E1,4.864023007E0,2.245895183E-1,4.294430507E1,5.380783081E0,8.209121290E1,1.708641674E-1,1.162592403E1,1.162592403E1,-1.000000000E0
1.999901724E1,5.234119830E1,4.864098505E0,7.247622116E-1,4.344443755E1,5.380783081E0,8.632146095E1,1.758561114E-1,1.093030876E1,1.093030876E1,-1.000000000E0
2.099890327E1,5.234119852E1,4.864171985E0,1.151727397E0,4.387136028E1,5.380783081E0,8.668495125E1,1.805615195E-1,1.132543411E1,1.132543411E1,-1.000000000E0
