Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
694,adelmo,1322832773,88706,02/12/2011 13:32,no,175,122.0,-44.9,179.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.14,-0.16,52,39,-157,214,584,-338,19.2,74.4,-165.0,20,,,,,,,,,,,0.4,-0.18,-0.49,-125,95,-123,200,560,140,,,,,,,,,,,,,,,,46.80142844,-28.438949400000002,-101.07226290000001,,,,,,,,,,,,,,,,19,,,,,,,,,,,0.14,0.05,-0.05,-51,82,-154,-560,262,42.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12,,,,,,,,,,,0.56,-0.14,1.03,72,95,21,598,-325.0,122.0,A
695,adelmo,1322832773,104327,02/12/2011 13:32,no,175,122.0,-44.9,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.14,-0.18,52,43,-159,221,582,-341,21.6,74.8,-162.0,20,,,,,,,,,,,0.45,-0.19,-0.66,-124,93,-121,206,550,164,,,,,,,,,,,,,,,,46.61909609,-29.85229144,-100.3732428,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.14,0.08,-0.08,-53,81,-152,-568,262,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12,,,,,,,,,,,0.05,-0.35,1.13,75,92,26,603,-311.0,110.0,A
696,adelmo,1322832773,204317,02/12/2011 13:32,no,175,122.0,-44.9,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.13,-0.13,49,43,-159,221,588,-336,26.7,75.8,-153.0,19,,,,,,,,,,,0.61,-0.22,-1.08,-122,90,-104,209,538,213,,,,,,,,,,,,,,,,47.84273127,-28.45459952,-100.1286142,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.14,0.08,-0.11,-50,82,-150,-566,256,36.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,-0.72,-0.47,0.87,82,88,35,623,-285.0,80.0,A
697,adelmo,1322832773,204371,02/12/2011 13:32,no,175,122.0,-44.9,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.11,-0.13,47,41,-160,217,589,-341,28.6,76.1,-149.0,18,,,,,,,,,,,0.61,-0.24,-1.38,-121,78,-96,209,531,229,,,,,,,,,,,,,,,,47.43524565,-27.64513253,-100.9717761,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.14,0.08,-0.1,-49,82,-152,-569,256,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,-0.88,-0.47,0.79,87,86,40,629,-272.0,46.0,A
698,adelmo,1322832773,216313,02/12/2011 13:32,no,175,122.0,-44.9,178.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.1,-0.11,47,36,-158,220,588,-345,29.9,76.4,-146.0,17,,,,,,,,,,,0.61,-0.21,-1.66,-121,65,-87,212,519,271,,,,,,,,,,,,,,,,48.82609707,-26.55784243,-100.3294631,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.14,0.08,-0.11,-47,84,-151,-571,254,39.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,-0.92,-0.4,0.54,92,85,42,634,-255.0,28.0,A
699,adelmo,1322832773,240346,02/12/2011 13:32,no,175,122.0,-44.8,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.1,-0.08,54,44,-158,221,590,-327,30.6,76.5,-142.0,16,,,,,,,,,,,0.64,-0.19,-1.89,-120,57,-77,213,501,314,,,,,,,,,,,,,,,,47.43524565,-27.64513253,-100.9717761,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.14,0.08,-0.1,-49,82,-152,-575,263,35.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,14,,,,,,,,,,,-0.8,-0.22,0.13,93,86,45,639,-241.0,-14.0,A
700,adelmo,1322832773,256283,02/12/2011 13:32,no,175,122.0,-44.9,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.11,-0.08,57,46,-160,222,579,-332,30.0,76.8,-137.0,13,,,,,,,,,,,0.82,-0.16,-2.28,-111,34,-49,210,458,387,,,,,,,,,,,,,,,,46.86036198,-28.25346154,-101.1302018,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.16,0.08,-0.11,-50,81,-152,-560,255,46.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,-0.05,0.39,-0.2,78,92,40,644,-221.0,-41.0,A
701,adelmo,1322832773,288315,02/12/2011 13:32,no,175,122.0,-44.9,178.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,-0.11,40,35,-157,225,584,-348,28.2,77.0,-135.0,13,,,,,,,,,,,0.98,-0.16,-2.33,-117,24,-46,200,426,436,,,,,,,,,,,,,,,,47.02013235,-28.92814789,-100.5825256,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.16,0.1,-0.13,-51,81,-151,-571,262,34.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,,,,,,,,,,,0.13,0.59,-0.46,70,94,36,637,-227.0,-66.0,A
702,adelmo,1322832773,320379,02/12/2011 13:32,no,175,123.0,-45.0,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.13,-0.08,45,45,-164,220,587,-351,24.9,78.2,-132.0,14,,,,,,,,,,,1.25,-0.13,-2.13,-134,-2,-35,184,371,502,,,,,,,,,,,,,,,,49.31799202,-29.96617666,-97.89170035,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.19,0.1,-0.15,-53,85,-149,-566,262,37.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12,,,,,,,,,,,0.42,0.83,-0.3,58,99,34,637,-229.0,-83.0,A
703,adelmo,1322832773,416330,02/12/2011 13:32,no,175,123.0,-44.8,178.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,-0.08,50,45,-166,216,583,-353,22.7,80.5,-129.0,14,,,,,,,,,,,1.4,-0.16,-1.57,-137,-33,4,158,326,544,,,,,,,,,,,,,,,,50.00060941,-27.41590005,-98.77217897,,,,,,,,,,,,,,,,18,,,,,,,,,,,0.21,0.03,-0.1,-48,85,-148,-568,260,38.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,12,,,,,,,,,,,0.87,1.09,-0.21,60,99,35,633,-239.0,-101.0,A
