Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
902,charles,1322837831,108294,02/12/2011 14:57,no,184,119.0,17.3,-2.95,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,-0.15,-24,64,-165,30,599,-327,-63.9,-23.6,-119.0,31,,,,,,,,,,,0.1,-0.5,0.72,-293,-57,-45,-374,265,555,,,,,,,,,,,,,,,,87.62588612,58.09535541,-33.55544843,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.13,0.18,-0.07,5,7,-3,-475,376,-216.0,-9.28,20.4,-106.0,,,,,,,,,,,,,,,,31,,,,,,,,,,,-0.42,2.42,1.08,-280,101,52,-601,656.0,723.0,A
903,charles,1322837831,116265,02/12/2011 14:57,no,184,119.0,17.3,-2.87,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,-0.16,-25,64,-164,26,602,-327,-64.1,-23.5,-118.0,31,,,,,,,,,,,0.05,-0.48,0.69,-293,-57,-44,-371,270,554,,,,,,,,,,,,,,,,61.54797087,94.12426501,-11.57282059,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.18,0.14,-0.05,7,5,-1,-477,374,-212.0,-6.82,20.3,-102.0,,,,,,,,,,,,,,,,28,,,,,,,,,,,-0.47,2.67,0.94,-245,104,53,-566,690.0,707.0,A
904,charles,1322837831,128276,02/12/2011 14:57,no,184,119.0,17.3,-2.78,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,-0.15,-24,63,-165,29,592,-337,-64.4,-23.5,-118.0,30,,,,,,,,,,,0.02,-0.47,0.66,-291,-57,-37,-364,263,558,,,,,,,,,,,,,,,,12.06785531,129.8243452,24.31608692,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.21,0.1,-0.02,8,1,2,-476,384,-208.0,-4.28,19.9,-98.5,,,,,,,,,,,,,,,,25,,,,,,,,,,,-0.55,2.67,0.92,-224,93,52,-558,704.0,703.0,A
905,charles,1322837831,172318,02/12/2011 14:57,no,184,119.0,17.3,-2.78,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.11,-0.15,-25,63,-162,23,601,-335,-64.6,-23.5,-118.0,30,,,,,,,,,,,0.02,-0.45,0.62,-289,-56,-34,-361,268,570,,,,,,,,,,,,,,,,35.5602583,105.5990372,35.5602583,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.26,0.08,-0.02,5,2,2,-478,385,-212.0,-2.1,19.4,-95.6,,,,,,,,,,,,,,,,24,,,,,,,,,,,-0.55,2.59,0.95,-204,99,48,-525,732.0,694.0,A
906,charles,1322837831,204391,02/12/2011 14:57,no,184,119.0,17.3,-2.75,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,-0.15,-25,64,-165,24,600,-338,-65.0,-23.4,-118.0,30,,,,,,,,,,,-0.02,-0.43,0.57,-290,-53,-34,-359,260,569,,,,,,,,,,,,,,,,53.76832531,39.42443751,87.60580506,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.31,0.1,0.02,3,4,6,-484,375,-199.0,-0.04,18.9,-92.8,,,,,,,,,,,,,,,,24,,,,,,,,,,,-0.47,2.46,0.84,-178,150,50,-487,746.0,687.0,A
907,charles,1322837831,248276,02/12/2011 14:57,no,184,119.0,17.3,-2.75,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.11,-0.2,-28,61,-163,23,598,-339,-66.0,-23.3,-117.0,29,,,,,,,,,,,-0.16,-0.37,0.49,-282,-52,-12,-350,261,567,,,,,,,,,,,,,,,,28.97517014,-102.96968009999999,44.29110441,,,,,,,,,,,,,,,,1,,,,,,,,,,,-0.31,0.08,0.05,-6,2,3,-480,376,-183.0,3.12,17.7,-88.3,,,,,,,,,,,,,,,,25,,,,,,,,,,,-0.45,1.78,0.51,-191,146,45,-445,761.0,667.0,A
908,charles,1322837831,332361,02/12/2011 14:57,no,184,118.0,17.6,-3.13,19,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,-0.2,-25,66,-167,22,595,-324,-73.9,-22.5,-105.0,27,,,,,,,,,,,-1.25,-0.06,0.39,-253,-55,37,-205,232,634,,,,,,,,,,,,,,,,60.41648469,-6.316142761,96.23773749,,,,,,,,,,,,,,,,2,,,,,,,,,,,-0.34,0.11,0.15,-1,9,13,-487,371,-183.0,10.6,8.95,-74.8,,,,,,,,,,,,,,,,15,,,,,,,,,,,-0.71,1.8,0.51,-89,110,48,-278,775.0,648.0,A
909,charles,1322837831,420360,02/12/2011 14:57,no,184,118.0,17.7,-3.24,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,-0.21,-24,60,-159,22,601,-340,-78.2,-21.9,-98.2,28,,,,,,,,,,,-1.54,0.03,0.25,-268,-53,55,-107,204,647,,,,,,,,,,,,,,,,-12.31702211,-37.74778602,117.17775970000001,,,,,,,,,,,,,,,,2,,,,,,,,,,,-0.39,0.06,0.21,-6,-2,15,-494,364,-184.0,14.4,6.59,-71.3,,,,,,,,,,,,,,,,16,,,,,,,,,,,-0.11,1.36,0.85,-55,141,17,-203,769.0,603.0,A
910,charles,1322837831,464280,02/12/2011 14:57,no,184,118.0,17.8,-3.37,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,-0.2,-23,64,-163,20,602,-333,-79.9,-21.5,-95.6,28,,,,,,,,,,,-1.73,0.08,0.16,-260,-56,48,-65,201,666,,,,,,,,,,,,,,,,-11.40229373,-22.95630411,131.35577890000002,,,,,,,,,,,,,,,,2,,,,,,,,,,,-0.32,0.08,0.21,-4,-2,17,-496,363,-181.0,15.4,6.22,-70.7,,,,,,,,,,,,,,,,17,,,,,,,,,,,-0.06,1.16,0.74,-86,141,15,-197,756.0,580.0,A
911,charles,1322837831,472307,02/12/2011 14:57,no,184,118.0,17.8,-3.44,18,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,-0.2,-22,65,-161,18,598,-332,-81.7,-21.1,-92.6,26,,,,,,,,,,,-1.93,0.08,0.11,-242,-50,71,-42,178,670,,,,,,,,,,,,,,,,-5.194076469,-15.63889408,140.5872415,,,,,,,,,,,,,,,,2,,,,,,,,,,,-0.29,0.08,0.2,-3,-1,19,-501,372,-177.0,16.3,5.72,-70.3,,,,,,,,,,,,,,,,17,,,,,,,,,,,-0.16,0.96,0.61,-98,139,14,-181,750.0,571.0,A
