Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
1621,eurico,1322489611,30636,28/11/2011 14:13,no,217,1.66,5.81,-87.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.0,-0.02,-14,5,26,64,581,-424,75.8,39.9,90.5,28,,,,,,,,,,,0.0,-0.27,0.18,-165,193,-116,-302,237,619,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,-178.0,-69.3,118.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.24,-0.32,0.34,-57,278,213,-444,959.0,-370.0,A
1622,eurico,1322489611,50681,28/11/2011 14:13,no,217,1.67,5.66,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,0.0,-0.02,-12,5,28,67,569,-425,76.1,40.5,90.3,29,,,,,,,,,,,0.08,-0.19,0.13,-180,195,-106,-306,235,615,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,-179.0,-69.2,120.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.24,-0.35,0.33,-62,279,211,-451,966.0,-370.0,A
1623,eurico,1322489611,86678,28/11/2011 14:13,no,217,1.65,5.49,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,0.0,-0.03,-13,4,28,61,578,-416,76.8,40.8,90.7,32,,,,,,,,,,,0.21,-0.06,0.15,-225,194,-100,-312,241,612,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,180.0,-69.1,121.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.24,-0.31,0.31,-58,280,212,-457,969.0,-378.0,A
1624,eurico,1322489611,226650,28/11/2011 14:13,no,217,1.56,5.22,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.0,-0.03,-11,6,28,63,579,-424,77.6,40.5,91.4,28,,,,,,,,,,,0.14,0.18,0.0,-201,149,-108,-318,245,607,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,178.0,-68.9,123.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.21,-0.27,0.3,-56,279,213,-457,964.0,-373.0,A
1625,eurico,1322489611,386651,28/11/2011 14:13,no,217,1.18,5.0,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.0,-0.07,-11,3,32,62,575,-405,78.1,39.5,95.0,30,,,,,,,,,,,0.22,0.1,-0.3,-230,149,-96,-340,236,597,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,176.0,-68.7,125.0,,,,,,,,,,,,,,,,37,,,,,,,,,,,-0.21,-0.19,0.33,-59,280,216,-463,976.0,-381.0,A
1626,eurico,1322489611,414658,28/11/2011 14:13,no,217,1.12,4.93,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.0,-0.07,-9,4,29,62,582,-413,78.0,39.5,95.2,29,,,,,,,,,,,0.18,0.06,-0.28,-227,148,-97,-337,225,595,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,175.0,-68.7,125.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.21,-0.16,0.3,-59,277,212,-461,976.0,-384.0,A
1627,eurico,1322489611,479135,28/11/2011 14:13,no,217,0.99,4.68,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.0,-0.03,-8,4,31,54,579,-421,77.3,39.7,95.3,28,,,,,,,,,,,0.03,-0.1,-0.07,-200,151,-111,-334,217,612,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,175.0,-68.4,126.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.26,-0.16,0.34,-58,278,214,-455,973.0,-367.0,A
1628,eurico,1322489611,618641,28/11/2011 14:13,no,217,0.92,4.68,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,-0.02,-9,1,32,54,581,-416,77.4,40.4,94.9,29,,,,,,,,,,,0.0,-0.19,0.1,-212,159,-107,-340,220,598,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,174.0,-68.1,126.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.22,-0.21,0.3,-61,275,211,-462,960.0,-380.0,A
1629,eurico,1322489611,654710,28/11/2011 14:13,no,217,0.92,4.73,-87.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,-0.02,-9,2,33,55,583,-405,77.5,40.6,94.7,29,,,,,,,,,,,-0.02,-0.22,0.11,-210,160,-106,-336,220,602,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,174.0,-68.1,126.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.21,-0.19,0.3,-59,276,212,-461,965.0,-381.0,A
1630,eurico,1322489611,722692,28/11/2011 14:13,no,217,0.99,4.99,-87.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.03,0.0,-13,4,32,56,580,-419,77.8,41.6,94.0,30,,,,,,,,,,,-0.06,-0.26,0.25,-219,164,-101,-337,222,599,,,,,,,,,,,,,,,,11.85790659,-61.30623892,94.29405816,,,,,,,,,,,,,,,,38,,,,,,,,,,,0.21,-0.1,0.0,-214,44,301,-438,230,308.0,174.0,-67.9,127.0,,,,,,,,,,,,,,,,36,,,,,,,,,,,-0.24,-0.21,0.33,-55,278,213,-446,967.0,-375.0,A
