Unnamed: 0,user_name,raw_timestamp_part_1,raw_timestamp_part_2,cvtd_timestamp,new_window,num_window,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,kurtosis_yaw_belt,skewness_roll_belt,skewness_roll_belt.1,skewness_yaw_belt,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,amplitude_yaw_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,kurtosis_yaw_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,skewness_yaw_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,amplitude_yaw_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,kurtosis_yaw_forearm,skewness_roll_forearm,skewness_pitch_forearm,skewness_yaw_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,amplitude_yaw_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
166,pedro,1323094969,144294,05/12/2011 14:22,no,46,129.0,28.7,1.63,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.03,-0.43,-43,70,-188,13,559,-414,-167.0,-9.76,151.0,25,,,,,,,,,,,-0.05,0.0,-0.11,-215,-76,-87,-432,351,460,,,,,,,,,,,,,,,,-78.49260198,-62.347001799999994,41.09498819,,,,,,,,,,,,,,,,3,,,,,,,,,,,0.37,-0.16,-0.1,-19,-23,13,499,-562,-155.0,83.5,-1.79,108.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.1,-0.03,-0.02,151,234,-198,-139,741.0,636.0,A
167,pedro,1323094969,180387,05/12/2011 14:22,no,46,129.0,28.7,1.53,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.03,-0.43,-45,68,-185,14,565,-410,-167.0,-9.75,151.0,25,,,,,,,,,,,-0.05,-0.02,-0.1,-212,-77,-86,-427,355,461,,,,,,,,,,,,,,,,-93.11186058,-36.07828575,50.22203639,,,,,,,,,,,,,,,,3,,,,,,,,,,,0.42,-0.13,-0.03,-11,-25,15,494,-560,-151.0,83.5,-1.76,108.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.08,-0.03,-0.05,152,235,-197,-144,747.0,633.0,A
168,pedro,1323094969,272376,05/12/2011 14:22,no,46,129.0,28.9,1.07,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,-0.02,-0.46,-42,70,-184,9,555,-393,-168.0,-9.79,150.0,25,,,,,,,,,,,-0.05,-0.03,-0.08,-217,-75,-87,-432,356,454,,,,,,,,,,,,,,,,-101.6058237,-21.97222611,50.00949399,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.61,-0.08,-0.05,-10,-39,22,495,-557,-137.0,83.5,-1.6,108.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.08,-0.02,0.0,152,235,-198,-146,744.0,640.0,A
169,pedro,1323094969,316285,05/12/2011 14:22,no,46,129.0,28.9,0.95,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.03,-0.48,-44,70,-187,10,566,-412,-168.0,-9.76,150.0,25,,,,,,,,,,,-0.06,-0.05,-0.07,-217,-76,-87,-428,353,450,,,,,,,,,,,,,,,,-76.76639489,-8.179190334,79.64545504,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.66,-0.05,-0.03,-4,-34,35,499,-569,-123.0,83.5,-1.56,108.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.03,-0.03,-0.05,147,237,-196,-139,742.0,628.0,A
170,pedro,1323094969,316316,05/12/2011 14:22,no,46,129.0,28.9,0.87,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.03,-0.48,-42,68,-188,8,567,-409,-168.0,-9.74,150.0,25,,,,,,,,,,,-0.06,-0.03,-0.05,-217,-77,-86,-426,356,455,,,,,,,,,,,,,,,,-76.87968291,7.732937594,79.60293262,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.71,-0.02,-0.1,4,-36,37,493,-561,-124.0,83.4,-1.53,108.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.02,-0.03,-0.08,146,237,-198,-145,749.0,628.0,A
171,pedro,1323094969,356283,05/12/2011 14:22,no,46,129.0,28.9,0.78,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.03,-0.46,-41,70,-189,10,560,-401,-168.0,-9.67,150.0,25,,,,,,,,,,,-0.08,-0.05,-0.05,-216,-75,-88,-430,356,450,,,,,,,,,,,,,,,,-63.19692458,37.60114853,80.15875839,,,,,,,,,,,,,,,,6,,,,,,,,,,,0.72,-0.02,-0.15,23,-37,45,497,-567,-113.0,83.3,-1.44,107.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,-0.03,-0.06,-0.11,157,237,-193,-143,750.0,639.0,A
172,pedro,1323094969,376317,05/12/2011 14:22,no,46,129.0,28.8,0.56,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,-0.03,-0.46,-44,68,-186,13,559,-402,-169.0,-9.44,149.0,25,,,,,,,,,,,-0.05,-0.03,-0.07,-217,-74,-90,-436,359,452,,,,,,,,,,,,,,,,-35.00783839,19.72604823,116.4709172,,,,,,,,,,,,,,,,8,,,,,,,,,,,0.72,0.02,-0.15,16,-28,75,489,-568,-95.0,83.0,-0.93,107.0,,,,,,,,,,,,,,,,34,,,,,,,,,,,0.1,-0.1,-0.02,154,226,-191,-147,751.0,633.0,A
173,pedro,1323094969,444315,05/12/2011 14:22,no,46,129.0,28.8,0.51,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.03,-0.48,-42,69,-186,3,561,-407,-169.0,-9.4,149.0,25,,,,,,,,,,,-0.06,-0.05,-0.11,-216,-77,-88,-428,358,450,,,,,,,,,,,,,,,,-37.8529583,23.62425587,111.80505520000001,,,,,,,,,,,,,,,,8,,,,,,,,,,,0.74,-0.02,-0.18,19,-30,73,491,-565,-89.0,83.1,-0.82,107.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.08,-0.05,-0.02,157,236,-192,-148,751.0,631.0,A
174,pedro,1323094969,532299,05/12/2011 14:22,no,46,129.0,28.8,0.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.05,-0.48,-41,69,-185,4,568,-402,-169.0,-9.37,149.0,25,,,,,,,,,,,-0.06,-0.03,-0.11,-215,-79,-88,-429,353,469,,,,,,,,,,,,,,,,-35.63049267,18.71240629,116.4377824,,,,,,,,,,,,,,,,9,,,,,,,,,,,0.77,-0.03,-0.28,16,-30,79,485,-569,-85.0,83.1,-0.73,107.0,,,,,,,,,,,,,,,,35,,,,,,,,,,,0.08,-0.08,-0.05,153,235,-193,-153,756.0,638.0,A
175,pedro,1323094969,776301,05/12/2011 14:22,no,46,129.0,28.6,0.78,21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.05,-0.46,-42,67,-186,4,564,-400,-170.0,-9.28,148.0,25,,,,,,,,,,,-0.05,-0.05,-0.1,-216,-77,-88,-426,355,460,,,,,,,,,,,,,,,,-28.97517014,6.598193217,127.3199636,,,,,,,,,,,,,,,,9,,,,,,,,,,,0.77,-0.13,-0.34,6,-26,87,485,-566,-74.0,82.9,-0.56,107.0,,,,,,,,,,,,,,,,34,,,,,,,,,,,0.08,-0.03,-0.05,153,227,-191,-153,751.0,642.0,A
