,_startDate,_endDate,_value
95786,2019-03-24 03:25:51 +0200,2019-03-24 11:10:28 +0200,HKCategoryValueSleepAnalysisInBed
95787,2019-03-24 03:35:09 +0200,2019-03-24 11:10:28 +0200,HKCategoryValueSleepAnalysisAsleep
95788,2019-03-25 02:12:59 +0200,2019-03-25 08:00:03 +0200,HKCategoryValueSleepAnalysisInBed
95789,2019-03-25 02:19:55 +0200,2019-03-25 08:00:03 +0200,HKCategoryValueSleepAnalysisAsleep
95790,2019-03-26 01:21:21 +0200,2019-03-26 08:22:50 +0200,HKCategoryValueSleepAnalysisInBed
95791,2019-03-26 01:29:47 +0200,2019-03-26 08:22:50 +0200,HKCategoryValueSleepAnalysisAsleep
95792,2019-03-27 03:56:56 +0200,2019-03-27 10:37:01 +0200,HKCategoryValueSleepAnalysisInBed
95793,2019-03-27 04:04:56 +0200,2019-03-27 10:37:01 +0200,HKCategoryValueSleepAnalysisAsleep
95794,2019-03-28 02:54:43 +0200,2019-03-28 09:46:09 +0200,HKCategoryValueSleepAnalysisInBed
95795,2019-03-28 03:02:57 +0200,2019-03-28 09:46:09 +0200,HKCategoryValueSleepAnalysisAsleep
95796,2019-03-29 02:59:02 +0200,2019-03-29 09:19:36 +0200,HKCategoryValueSleepAnalysisInBed
95797,2019-03-29 03:06:39 +0200,2019-03-29 09:19:36 +0200,HKCategoryValueSleepAnalysisAsleep
95798,2019-03-31 01:28:15 +0200,2019-03-31 08:31:05 +0200,HKCategoryValueSleepAnalysisInBed
95799,2019-03-31 01:36:42 +0200,2019-03-31 08:31:05 +0200,HKCategoryValueSleepAnalysisAsleep
95800,2019-04-01 01:30:22 +0200,2019-04-01 09:21:30 +0200,HKCategoryValueSleepAnalysisInBed
95801,2019-04-01 01:39:47 +0200,2019-04-01 09:21:30 +0200,HKCategoryValueSleepAnalysisAsleep
95802,2019-04-02 01:58:36 +0200,2019-04-02 09:03:08 +0200,HKCategoryValueSleepAnalysisAsleep
95803,2019-04-02 01:49:26 +0200,2019-04-02 09:27:34 +0200,HKCategoryValueSleepAnalysisInBed
95804,2019-04-03 01:02:53 +0200,2019-04-03 08:27:13 +0200,HKCategoryValueSleepAnalysisInBed
95805,2019-04-03 01:11:46 +0200,2019-04-03 08:27:13 +0200,HKCategoryValueSleepAnalysisAsleep
95806,2019-04-07 02:02:39 +0200,2019-04-07 09:48:55 +0200,HKCategoryValueSleepAnalysisInBed
95807,2019-04-07 02:50:49 +0200,2019-04-07 09:48:55 +0200,HKCategoryValueSleepAnalysisAsleep
95808,2019-04-08 03:15:35 +0200,2019-04-08 09:44:14 +0200,HKCategoryValueSleepAnalysisAsleep
95809,2019-04-08 02:18:44 +0200,2019-04-08 09:59:35 +0200,HKCategoryValueSleepAnalysisInBed
95810,2019-04-09 02:20:50 +0200,2019-04-09 09:30:02 +0200,HKCategoryValueSleepAnalysisInBed
95811,2019-04-09 02:29:25 +0200,2019-04-09 09:30:02 +0200,HKCategoryValueSleepAnalysisAsleep
95812,2019-04-10 02:33:58 +0200,2019-04-10 09:19:11 +0200,HKCategoryValueSleepAnalysisAsleep
95813,2019-04-10 02:25:28 +0200,2019-04-10 09:30:31 +0200,HKCategoryValueSleepAnalysisInBed
95814,2019-04-11 02:02:31 +0200,2019-04-11 07:30:37 +0200,HKCategoryValueSleepAnalysisInBed
95815,2019-04-11 02:09:05 +0200,2019-04-11 07:30:37 +0200,HKCategoryValueSleepAnalysisAsleep
95816,2019-04-12 00:56:18 +0200,2019-04-12 07:23:14 +0200,HKCategoryValueSleepAnalysisInBed
95817,2019-04-12 01:04:03 +0200,2019-04-12 07:23:14 +0200,HKCategoryValueSleepAnalysisAsleep
95818,2019-04-15 01:09:22 +0200,2019-04-15 08:04:17 +0200,HKCategoryValueSleepAnalysisAsleep
95819,2019-04-15 01:00:24 +0200,2019-04-15 08:28:10 +0200,HKCategoryValueSleepAnalysisInBed
95820,2019-04-16 01:37:08 +0200,2019-04-16 07:22:08 +0200,HKCategoryValueSleepAnalysisAsleep
95821,2019-04-16 01:13:17 +0200,2019-04-16 07:29:40 +0200,HKCategoryValueSleepAnalysisInBed
95822,2019-04-23 02:51:12 +0200,2019-04-23 04:10:43 +0200,HKCategoryValueSleepAnalysisInBed
95823,2019-04-23 02:52:48 +0200,2019-04-23 04:10:43 +0200,HKCategoryValueSleepAnalysisAsleep
95824,2019-04-26 04:25:35 +0200,2019-04-26 10:28:25 +0200,HKCategoryValueSleepAnalysisInBed
95825,2019-04-26 04:47:21 +0200,2019-04-26 10:28:25 +0200,HKCategoryValueSleepAnalysisAsleep
95826,2019-04-26 10:28:40 +0200,2019-04-26 11:32:39 +0200,HKCategoryValueSleepAnalysisInBed
95827,2019-04-26 10:29:57 +0200,2019-04-26 11:32:39 +0200,HKCategoryValueSleepAnalysisAsleep
95828,2019-04-29 01:04:01 +0200,2019-04-29 03:08:49 +0200,HKCategoryValueSleepAnalysisAsleep
95829,2019-04-29 00:20:40 +0200,2019-04-29 03:14:01 +0200,HKCategoryValueSleepAnalysisInBed
95830,2019-04-29 05:27:41 +0200,2019-04-29 06:40:31 +0200,HKCategoryValueSleepAnalysisAsleep
95831,2019-04-29 06:53:11 +0200,2019-04-29 07:18:58 +0200,HKCategoryValueSleepAnalysisAsleep
95832,2019-04-29 05:24:58 +0200,2019-04-29 07:40:41 +0200,HKCategoryValueSleepAnalysisInBed
95833,2019-04-29 23:40:36 +0200,2019-04-30 07:21:41 +0200,HKCategoryValueSleepAnalysisAsleep
95834,2019-04-29 23:15:22 +0200,2019-04-30 07:40:12 +0200,HKCategoryValueSleepAnalysisInBed
95835,2019-05-01 00:30:26 +0200,2019-05-01 06:46:09 +0200,HKCategoryValueSleepAnalysisAsleep
95836,2019-04-30 23:49:21 +0200,2019-05-01 07:09:37 +0200,HKCategoryValueSleepAnalysisInBed
95837,2019-05-02 00:37:43 +0200,2019-05-02 07:11:31 +0200,HKCategoryValueSleepAnalysisAsleep
